Codigo;Data;Cota;Vazao
45120000;01/11/2014;;
45120000;02/11/2014;;
45120000;03/11/2014;;
45120000;04/11/2014;;
45120000;05/11/2014;;
45120000;06/11/2014;;
45120000;07/11/2014;;
45120000;08/11/2014;;
45120000;09/11/2014;;
45120000;10/11/2014;;
45120000;11/11/2014;;
45120000;12/11/2014;;
45120000;13/11/2014;;
45120000;14/11/2014;;
45120000;15/11/2014;;
45120000;16/11/2014;;
45120000;17/11/2014;;
45120000;18/11/2014;;
45120000;19/11/2014;340;35,5542
45120000;20/11/2014;339;34,8132
45120000;21/11/2014;336;32,6411
45120000;22/11/2014;336;32,6411
45120000;23/11/2014;349;42,609
45120000;24/11/2014;357;49,4688
45120000;25/11/2014;359;51,2713
45120000;26/11/2014;364;55,9321
45120000;27/11/2014;362;54,0412
45120000;28/11/2014;358;50,3657
45120000;29/11/2014;349;42,609
45120000;30/11/2014;350;43,4359
45120000;01/12/2014;347;40,981
45120000;02/12/2014;346;40,1799
45120000;03/12/2014;341;36,3038
45120000;04/12/2014;347;40,981
45120000;05/12/2014;347;40,981
45120000;06/12/2014;343;37,8285
45120000;07/12/2014;349;42,609
45120000;08/12/2014;363;54,9822
45120000;09/12/2014;359;51,2713
45120000;10/12/2014;356;48,5807
45120000;11/12/2014;359;51,2713
45120000;12/12/2014;355;47,7014
45120000;13/12/2014;355;47,7014
45120000;14/12/2014;355;47,7014
45120000;15/12/2014;358;50,3657
45120000;16/12/2014;352;45,116
45120000;17/12/2014;352;45,116
45120000;18/12/2014;354;46,8309
45120000;19/12/2014;356;48,5807
45120000;20/12/2014;372;63,8521
45120000;21/12/2014;364;55,9321
45120000;22/12/2014;366,5;58,3457
45120000;23/12/2014;366,5;58,3457
45120000;24/12/2014;362;54,0412
45120000;25/12/2014;358;50,3657
45120000;26/12/2014;357;49,4688
45120000;27/12/2014;348;41,7906
45120000;28/12/2014;343;37,8285
45120000;29/12/2014;341;36,3038
45120000;30/12/2014;338,5;34,4459
45120000;31/12/2014;338,5;34,4459
45120000;01/01/2015;338,5;34,4459
45120000;02/01/2015;338,5;34,4459
45120000;03/01/2015;339,5;35,1826
45120000;04/01/2015;336,5;32,9978
45120000;05/01/2015;334,5;31,5836
45120000;06/01/2015;332,5;30,2032
45120000;07/01/2015;332;29,8633
45120000;08/01/2015;330;28,5248
45120000;09/01/2015;330;28,5248
45120000;10/01/2015;330;28,5248
45120000;11/01/2015;330;28,5248
45120000;12/01/2015;330,5;28,8563
45120000;13/01/2015;329;27,8681
45120000;14/01/2015;328,5;27,5429
45120000;15/01/2015;328,5;27,5429
45120000;16/01/2015;328;27,2198
45120000;17/01/2015;327,5;26,8987
45120000;18/01/2015;327;26,5797
45120000;19/01/2015;326,5;26,2628
45120000;20/01/2015;327;26,5797
45120000;21/01/2015;326;25,948
45120000;22/01/2015;326,5;26,2628
45120000;23/01/2015;328;27,2198
45120000;24/01/2015;327,5;26,8987
45120000;25/01/2015;330;28,5248
45120000;26/01/2015;331,5;29,5255
45120000;27/01/2015;332,5;30,2032
45120000;28/01/2015;334,5;31,5836
45120000;29/01/2015;333;30,5451
45120000;30/01/2015;332;29,8633
45120000;31/01/2015;329,5;28,1954
45120000;01/02/2015;328,5;27,5429
45120000;02/02/2015;328;27,2198
45120000;03/02/2015;326,5;26,2628
45120000;04/02/2015;326;25,948
45120000;05/02/2015;327;26,5797
45120000;06/02/2015;329,5;28,1954
45120000;07/02/2015;332;29,8633
45120000;08/02/2015;336,5;32,9978
45120000;09/02/2015;337;33,3566
45120000;10/02/2015;336;32,6411
45120000;11/02/2015;334;31,2354
45120000;12/02/2015;334;31,2354
45120000;13/02/2015;332;29,8633
45120000;14/02/2015;330;28,5248
45120000;15/02/2015;330;28,5248
45120000;16/02/2015;330;28,5248
45120000;17/02/2015;330;28,5248
45120000;18/02/2015;333;30,5451
45120000;19/02/2015;338;34,0807
45120000;20/02/2015;338;34,0807
45120000;21/02/2015;338;34,0807
45120000;22/02/2015;341;36,3038
45120000;23/02/2015;342,5;37,4441
45120000;24/02/2015;338;34,0807
45120000;25/02/2015;336;32,6411
45120000;26/02/2015;334;31,2354
45120000;27/02/2015;335;31,934
45120000;28/02/2015;336;32,6411
45120000;01/03/2015;334,5;31,5836
45120000;02/03/2015;334;31,2354
45120000;03/03/2015;336;32,6411
45120000;04/03/2015;338,5;34,4459
45120000;05/03/2015;340;35,5542
45120000;06/03/2015;338;34,0807
45120000;07/03/2015;336;32,6411
45120000;08/03/2015;334;31,2354
45120000;09/03/2015;334;31,2354
45120000;10/03/2015;332;29,8633
45120000;11/03/2015;334;31,2354
45120000;12/03/2015;333;30,5451
45120000;13/03/2015;334,5;31,5836
45120000;14/03/2015;334;31,2354
45120000;15/03/2015;334;31,2354
45120000;16/03/2015;334;31,2354
45120000;17/03/2015;335,5;32,2865
